 Empresa Sector Actividad "Inversión promovida (US$)" Fecha
64 "IWE SA." SERV. "Mantenimiento y reparación de mecánica y eléctrica de automotores." 2266126 2019-02-01
65 "TRANSBIANCO S.A." SERV. "Transporte de carga nacional." 435053 2019-02-01
66 "ELTONIR  S.A." COM. "Comercio al por mayor de prendas de vestir." 611273 2019-02-01
67 "VICTOR ARBIZA" COM. "Venta de repuestos y accesorios para vehículos." 130100 2019-02-01
68 "URCEL S.A." COM. "Centro de logística y acopio de madera." 2161083 2019-02-01
69 "ARKANOSOFT S.A." SERV. "Servicios de tecnología de la información." 33449 2019-02-01
70 "PAPELERIA VAYA SOCIEDAD COLECTIVA" IND. "Fábrica bolsas, papel, imprenta." 595297 2019-02-01
71 "DANK S.A." IND. "Aserrado, cepillado y trabajo a máquina de la madera." 1198682 2019-02-01
72 "CENQUIZCA S.A." IND. "Fabricación de maquinarias." 442336 2019-02-01
73 "ARMCO URUGUAYA S.A." IND. "Fabricación y venta de productos metálicos." 107490 2019-02-01
74 "LANCO S.A." IND. "Producción de lanolina." 1917431 2019-02-01
75 "PRAXAIR LTDA." IND. "Fabricación de gases industriales." 357240 2019-02-01
76 "AMARIDEL S.A." TUR. Hotelería. 5181980 2019-02-01
77 "MONTEVIDEO WANDERERS F.C." TUR. "Administración de otro tipo de instalaciones deportivas." 549614 2019-02-01
78 "CITILOND S.A." COM. "Comercio al por menor de partes, piezas y accesorios de vehículos." 57113 2019-02-01
79 "MODYLER S.A." SERV. Logística. 848177 2019-02-01
80 "PTP URUGUAY S.A." SERV. "Almacenaje y logística." 886641 2019-02-01
81 "ASOCIACIÓN NACIONAL DE AFILIADOS (A.N.D.A)" SERV. "Asociación Civil sin fines de lucro." 2744880 2019-02-01
82 "SANARY S.A." COM. "Importación y comercialización de calzados y afines." 928483 2019-02-01
83 "BLOMMY'S S.A." COM. "Comercio al por menor de vehículos." 44513 2019-02-01
84 "MARCO CARBONI S.R.L" COM. "Comercio al por menor de muebles y accesorios para el hogar." 274307 2019-02-01
85 "SANATORIO MEDICO QUIRURGICO SALTO S.A." SERV. "Actividades de hospitales." 372885 2019-02-01
86 "H&CIA SRL" COM. Supermercado. 5568442 2019-02-01
87 "WENILAND S.A." SERV. "Taller de gomería." 70570 2019-02-01
88 "GAINPAL S.A." TUR. Hotelería. 426930 2019-02-01
89 "FERAL S.A." COM. "Importación, exportación y representación de productos alimentcios y bebidas." 187962 2019-02-01
90 "MARIA DE  LOS ANGELES SAYA" COM. "Comercio al por menor mini mercados carne menudencias." 83377 2019-02-01
91 "URUGUAY BROCKERS SRL" COM. "Comercio de productos empanadas y bebidas." 22416 2019-02-01
92 "ERGOSTAL S.A." SERV. "Alquiler de vehículos sin chofer." 3532746 2019-02-01
93 "BESTSELLER TEXTIL WHS S.A." COM. "Venta de indumentaria." 1096530 2019-02-01
94 "CROSIL S.A." COM. "Comercio al por mayor de otros alimentos y bebidas." 88935 2019-02-01
95 "EDIALBA LTDA" COM. "Autoservicio, Servicios de catering, panadería y confitería." 113415 2019-02-01
96 "MABENIR S.A." COM. "Comercio de juguetes, CD, videos y edición de videos." 416343 2019-02-01
97 "PAMER S.A." IND. "Productos de papel y cartón." 546627 2019-02-01
98 "VIENTOS DE PASTORALE S.A." IND. "Generación de energía eléctrica." 6959330 2019-02-01
99 "CRUFI S.A." IND. "Elaboración de helados." 22044199 2019-02-01
100 "SOLMEY S.A" IND. "Elaboración de dulces." 633683 2019-02-01
101 "GRAMON BAGÒ DEL URUGUAY S.A." IND. "Fabricación y comercialización de especialidades farmacéuticas." 1475250 2019-02-01
103 "ANZATIL S.A." SERV. "Otras actividades relacionadas a la salud humana NCP." 650830 2019-03-01
104 "TECNOLUM S.A." SERV. "Transporte terrestre local de carga." 790000 2019-03-01
105 "CAFÉ SIRENA URUGUAY S.A." COM. "Salones de té." 1276190 2019-03-01
106 "TEBETUR S.A.; CUECAR S.A. y FORESTAL ORIENTAL S.A." SERV. "Terminal portuaria; Agroindustria forestal y Explotador de ZF." 483906901 2019-03-01
107 "COLUMBIA PALACE HOTEL S.A." TUR. Hotel. 2536038 2019-03-01
108 "ESTACIÓN OLIMPIA S.R.L." COM. "Estación de servicios." 41070 2019-03-01
109 "ROTUNDAMENTE LTDA." COM. "Importación y venta de ropa de mujer al por menor." 129863 2019-03-01
110 "DHL URUGUAY S.R.L" SERV. "Servicios de mensajería." 36490 2019-03-01
111 "BESTSELLER TEXTIL WHS URUGUAY S.A." COM. "Venta de indumentaria." 1541476 2019-03-01
112 "LOJAS RENNER URUGUAY S.A." COM. Comercio. 3813106 2019-03-01
113 "MELYNOR S.A." COM. "Comercio al por mayor no especializado de otros productos." 826264 2019-03-01
114 "PINTURAS INCA S.A." IND. "Fabricación de pinturas, esmaltes, lacas y barnices." 1438934 2019-03-01
115 "LOS NIETITOS S.A." IND. "Fábrica dulces y mermeladas." 509475 2019-03-01
116 "FORBEL S.A." IND. "Producción,empaque, exportación frutas citricas, arándanos y comercialización en plaza." 674659 2019-03-01
117 "COPAYAN S.A." IND. "Planta frigorífica y matadero de ganado bobino." 1228607 2019-03-01
118 "INFUSIONES S.A." IND. "Elaboración de otros productos de molienda de cereales." 110483 2019-03-01
119 "FIDEICOMISO CASAGRANDE 39.073/17" TUR. Hotel. 15013442 2019-03-01
120 "SURF S.A." COM. Tienda. 62256 2019-03-01
121 "FARMACIA PASTEUR S.R.L." COM. "Farmacia y perfumería." 403004 2019-03-01
122 "SENSIL S.A." COM. "Comercio al por menor de vehículos nuevos y usados." 327338 2019-03-01
123 "PETROBRAS URUGUAY DISTRIBUCION S.A." COM. "Importadores y distribuidores de derivados del petróleo y afines." 1975833 2019-03-01
124 "SOCUR S.A." SERV. "Administradora de crédito." 292713 2019-03-01
125 "PINTELUX PAINTINGS S.A" COM. Pinturería. 637484 2019-03-01
126 "BOMEWYR S.A." COM. "Venta muebles." 35001 2019-03-01
127 "DOMINGO RAFAEL GHELFA" IND. "Procesamiento y conservación de frutas y vegetales." 875053 2019-03-01
128 "TIOMA S.A." IND. "Producción, distribución y venta de hielo." 351765 2019-03-01
129 "M.S.C. S.R.L." IND. "Explotación de minas y canteras." 354478 2019-03-01
130 "GERDAU LAISA S.A." IND. "Acería y laminación. Fabricación de palanquilla y otros productos elaborados a partir de ésta." 1423066 2019-03-01
131 "CARDAMA S.A." IND. "Fabricación de harina de carne y sebo industrial." 288085 2019-03-01
133 "LABORATORIO INDUSTRIAL MONTEVIDEO S.A." SERV. "Laboratorio Industral." 283743 2019-04-01
134 "ZAHL S.R.L." SERV. "Construcción de obras de arquitectura, transporte terrestre local de carga, publicidad, actividad de limpieza industrial y de edificios." 33891 2019-04-01
135 "MONDELAN S.A." IND. "Fabricación  de ración balanceada." 853053 2019-04-01
136 "REFINERIA DE OLEOS DEL URUGUAY S.A." IND. "Elaboración de aceites y grasas." 5296988 2019-04-01
137 "LABORATORIOS CLAUSEN S.A." IND. "Fabricación y venta de especialidades farmacéuticas." 6465879 2019-04-01
138 "TEBLIX S.A." IND. "Cantera de granito." 366412 2019-04-01
139 "FRIGORIFICO CARRASCO S.A." IND. "Industria frigorífica." 1908285 2019-04-01
140 "RASWYL S.A." COM. "Comercio al por mayor de textiles y otros productos, otras actividades de servicios y apoyo a los negocios." 3208834 2019-04-01
141 "LOJAS RENNER URUGUAY S.A." COM. "Comercio y servicio." 3601485 2019-04-01
142 "CENTRALSUR S.A." SERV. "Actividad de las casas de cambio." 90839 2019-04-01
143 "LAURENT SRL." COM. "Comercio por menor de equipos ópticos." 125849 2019-04-01
144 "PACCHIOTTI LTDA." SERV. "Agente o corredor de seguros en general." 269632 2019-04-01
145 "XIVILLER HERMANOS LIMITADA." SERV. "Estación de servicios." 977841 2019-04-01
146 "SOLDO HNOS. S.A." COM. "Comercio al por mayor de comestibles excepto carnes." 2558516 2019-04-01
147 "FRIGORIFICO TACUAREMBO S.A." IND. "Matanza de ganado vacuno, ovino y equino en frigoríficos." 4288615 2019-04-01
148 "ATLANTIS S.A." IND. "Elaboración y comercialización de productos de limpieza." 459942 2019-04-01
149 "FORBEL S.A." AGRO. "Producción, empaque ,exportación de frutas cítricas, arándanos y comercialización en plaza." 1429436 2019-04-01
150 "NIFELAR S.A." TUR. Hotel. 17614927 2019-04-01
151 "INSTITUCION DEPORTIVA GURUYU WASTON" TUR. "Actividad deportiva." 242632 2019-04-01
152 "VALLE DEL HILO DE LA VIDA S.R.L." TUR. Turismo. 358633 2019-04-01
153 "PROMEDICO S.R.L." COM. "Free Shop." 376636 2019-04-01
154 "PROMEDICO S.R.L." COM. "Free Shop." 417357 2019-04-01
155 "MONTEVIDEO REFRESCOS S.A." IND. "Elaoración de bebidas no alcohólicas." 1011440 2019-04-01
156 "PAMER S.A." IND. "Producción de papel y cartón." 190626 2019-04-01
157 "TERRY S.A." IND. "Fabricación de cosméticos, perfumes y artículos de tocador." 114336 2019-04-01
158 "TIGOREL S.A." AGRO. "Servicios de apoyo a la forestación." 377516 2019-04-01
159 "BRESOLIR S.A." TUR. "Actividades de alojamiento en hoteles." 753699 2019-04-01
161 "GRANEY S.A." COM. "Comercio al por mayor de comestibles, excepto carnes." 79318 2019-05-01
162 "ESTACION LAGOMAR LTDA." COM. "Estación de servicio." 273575 2019-05-01
163 "TACHI LTDA." COM. "Comercio por menor de combustible de uso doméstico y gas envasado." 104247 2019-05-01
164 "TCU S.A." SERV. "Depósito y almacenaje." 8965352 2019-05-01
165 "ASATUL S.A." COM. "Comercio al por menor de materiales eléctricos y de conducción. Construcción de obras de arquitectura." 85500 2019-05-01
166 "TRONEM S.A." IND. "Explotación de estancia turística, bodega y restaurantes y comercialización de productos y servicios." 796210 2019-05-01
167 "TILEO S.A." IND. "Matanza, preparación y conservación de pollos y gallinas." 48675 2019-05-01
168 "EL ABRAZO DE LAS SIERRAS S.A." TUR. "Turismo alojamiento corto plazo." 478285 2019-05-01
169 "ZINKOR S.A." SERV. Construcción. 729103 2019-05-01
170 "COLOTIC S.R.L." SERV. "Clínicas médicas, excepto de estética corporal." 125653 2019-05-01
171 "TRANSPORTE SELLANES LTDA." SERV. "Transporte profesional de carga." 649500 2019-05-01
172 "AXION COMERCIALIZACIÓN DE COMBUSTIBLES Y LUBRICANTES S.A." COM. "Comercio por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos." 158344 2019-05-01
173 "NESTLE S.A." IND. "Elaboración de otros productos alimenticios." 16073337 2019-05-01
174 "CRIMORY S.A." TUR. "Condohotel (hotel condominio)." 483972 2019-05-01
175 "SILNEK S.A." TUR. "Hotel boutique." 387518 2019-05-01
176 "MONTECON S.A." SERV. "Actividad de servicio secundario transporte vía acuatica." 24597731 2019-05-01
177 "PUERTAS DEL SUR S.A." SERV. "Actividad de servicio secundario de transporte via aéreo." 3739444 2019-05-01
178 "SHOPPING CENTERS URUGUAY S.A." COM. "Propiedad y explotación de bienes inmobiliarios propios no rurales." 7552801 2019-05-01
179 "HERRERA OREGIA, NICOLAS Y OTROS" SERV. "Servicios profesionales." 77915 2019-05-01
180 "TRUSUM S.R.L." SERV. "Servicios de ambulancia." 73462 2019-05-01
181 "OSAN S.A." COM. "Importación y distribución de alimentos." 1338795 2019-05-01
182 "BADER S.A." IND. "Fabricación de cubre asientos en cuero para la industria automotriz." 958287 2019-05-01
183 "MAPATEX S.A." AGRO. "Cultivo de hortalizas hidropónicas." 1836955 2019-05-01
184 "BOLSIN S.A." AGRO. "Explotación agropecuaria, cultivo de cereales y cría de ganado." 65725 2019-05-01
185 "DINAMERICA S.A." COM. "Comercialización de artículos varios." 157333 2019-05-01
186 "KISDUR S.A." SERV. "Actividades de apoyo a explotación de otras minas y canteras." 795088 2019-05-01
187 "JULIO CESAR LESTIDO S.A." IND. "Compraventa de vehículos automotores/generación de energía." 4469641 2019-05-01
188 "ENWRAG S.A." IND. "Fabricación y exportación de tops de lana peinada." 810083 2019-05-01
189 "PONSE S.A." IND. "Venta y pos venta de máquinas forestales." 355095 2019-05-01
190 "EVAMEL S.A." IND. "Procesamiento, conservación y transporte de pescado." 140070 2019-05-01
191 "SEROLE S.R.L." AGRO. "Extracción de madera." 308428 2019-05-01
192 "MOREAL AGROPECUARIA S.R.L." AGRO. "Cría de otros animales NCP." 73655 2019-05-01
193 "MARCOS ENRIQUE GUIGOU CAIRUS NF" AGRO. "Explotación agropecuaria." 1023862 2019-05-01
194 "LECAL S.R.L." AGRO. "Prestación de servicios forestales." 2695055 2019-05-01
195 "ANTONIO L. PANISSA E HIJOS" AGRO. "Explotación agropecuaria." 13852 2019-05-01
196 "LOMANTIX S.A." TUR. "Propiedad y explotación de bienes inmobiliarios no rurales." 1533901 2019-05-01
198 "ENCOMIENDAS DEL LITORAL LTDA." SERV. "Servicio de mensajería y transporte de carga." 212551 2019-06-01
199 "MASTER MIND S.R.L." SERV. "Otras actividades con bienes propios o arrendados." 3041284 2019-06-01
200 "ISBEL S.A." COM. "Importación y comercialización de soluciones en telefonía y comunicaciones." 3642613 2019-06-01
201 "CELMU S.A." SERV. "Renta y alquiler de vehículos automotores." 1050984 2019-06-01
202 "COPAYAN S.R.L." IND. "Planta frigorífica y matadero de ganado bobino." 435727 2019-06-01
203 "IMPRIMEX S.A." IND. "Impresión de envases, cajas, estuches, etiquetas autoadhesivas, folletos, volantes, revistas y libros." 772648 2019-06-01
204 "M Y L S.A." IND. "Fabricación de productos metálicos para uso estructural." 963063 2019-06-01
205 "PROQUIMUR S.A." IND. "Fabricación de productos para el agro." 575778 2019-06-01
206 "LIDASUR S.A." IND. "Fabricación de productos metálicos." 895448 2019-06-01
207 "ATMA S.A." IND. "Fabricación productos plástico moldeado." 884533 2019-06-01
208 "CERVEZA DIENA S.R.L." IND. "Elaboración de bebidas malteadas y de malta." 103729 2019-06-01
209 "AMBSA S.A." IND. "Industria metalúrgica." 1073531 2019-06-01
210 "LABORATORIO MICROSULES S.A." IND. "Laboratorio de especialidades químicas." 107548 2019-06-01
